task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
PMID:30340949,Cardiovascular Medicine,,2.0,easy,0,,,,53.93,93,2962,0.7,0.2,0.0,0.65,0.6,0.4025,0,"The model provides a well-structured conceptual framework covering pre-procedural, intra-procedural, and post-procedural workflow integration, and correctly identifies the gap between psychomotor-focused simulators and workflow training needs. However, it misses key specifics from the gold answer: no mention of existing simulators by name (HeartWorks, CAE Vimedix, TEEduino), no discussion of mixed-reality approaches, and no mention of integration with competency milestones/certification. Critica"
PMID:27493633,Cardiovascular Medicine,Cardiology / Sudden Cardiac Death Prevention,4.33,hard,23,chembl;opentargets;pubmed,clinicaltrialsgov;pubmed,0.5,196.18,11270,4150,0.78,0.55,0.38,0.8,0.78,0.637,1,"The model provided a comprehensive and well-structured answer covering most key aspects from the gold standard, including antiviral therapy (IFN-β/TIMIC trial), immunomodulation (anakinra, canakinumab), gap junction modulators (rotigaptide), and anti-fibrotic strategies. However, it missed SGLT2 inhibitors (empagliflozin/dapagliflozin) and colchicine/COLCARD trial explicitly mentioned in the gold standard, and didn't mention danegaptide. Evidence quality is moderate—citations are provided withou"
PMID:29938746,Neuroscience & Psychiatry,Psychiatric nosology & epistemology,4.33,hard,14,pubmed,pubmed,1.0,99.56,3619,2836,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {""scores"":{""coverage"":0.72,""evidence_quality"":0.65,""tool_usage"":0.40,""reasoning_quality"":0.82,""completeness"":0.68},""reasoning"":""The model provides a philosophically rich and well-structured answer that covers the core nomothetic-idiographic tension, Jaspers' framework, phenomenological approaches, and network theory. However, it misses several key elements from the gold standard: RDoC is not mentioned at all, N=1 network analysis/EMA is absent, precision psychiatry and computat"
PMID:29385732,Rare & Orphan Diseases,Mitochondrial diseases and diagnostic biomarkers,4.0,hard,19,clinicaltrialsgov;ncbi_datasets;pubmed;uniprot,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,0.8,188.33,9346,4371,0.85,0.65,0.5,0.85,0.85,0.7225,1,"The model provided a comprehensive, well-structured answer covering all major biomarker categories (metabolic, genetic, imaging, functional) and tissue-specific combinations, aligning well with the gold standard on FGF21+GDF15 as the best-validated serum combination, their limitations for non-myopathic MIDs, and the lack of universal biomarker panels. Coverage is strong but misses some gold-standard specifics (cutaneous respirometry, small molecule reporters, NAMDC/ERN infrastructure). Evidence "
PMID:37321111,Clinical Medicine,Ophthalmology,3.67,hard,12,clinicaltrialsgov;ncbi_datasets;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,1.0,112.42,3774,2122,0.45,0.35,0.55,0.4,0.4,0.44,0,"The model's most critical failure is claiming 'no published preclinical proof-of-concept' when it actually retrieved PMID 37321111 ('Gene therapy for RAB28: What can we learn from zebrafish?') multiple times via tool calls but failed to incorporate these findings. The gold standard identifies this as strong preclinical evidence showing cone-specific Rab28 expression rescues the degenerative phenotype in zebrafish, proving cell-autonomous disease mechanism and sufficiency of gene replacement. The"
PMID:37285423,Other,Prebiotic Chemistry & Origin of Life,3.67,hard,13,pubmed,pubmed,1.0,163.51,3573,4125,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.95,
        ""evidence_quality"": 0.55,
        ""tool_usage"": 0.65,
        ""reasoning_quality"": 0.85,
        ""completeness"": 0.90
    },
    ""reasoning"": ""The model provides excellent coverage (0.95), addressing all key mechanisms from the gold standard (CISS, Frank-type autocatalysis, CPL, mineral surfaces, PVED) plus additional relevant mechanisms like Viedma ripening and kinetic resolution/chiral poisoning specific to RNA. Evidence qua"
NCT00535353,Oncology,Cancer Drug Development,2.67,medium,0,,clinicaltrialsgov;pubmed,0.0,22.44,355,288,0.0,0.0,0.0,0.0,0.0,0.0,0,"The model completely failed to answer the question. It asked for clarification about which trial was being referenced, but the question context (AZD2281/olaparib with irinotecan in colorectal cancer, NCT00535353) should have been identifiable. The model made zero tool calls when it should have searched clinicaltrialsgov and pubmed for trial details. No information about efficacy, safety, or dosing was provided. No citations were given. No reasoning about the interventions was attempted. This is "
NCT07600788,Pharmacology & Drug Discovery,"Pharmacokinetics, Drug Safety in Special Populations",2.67,medium,18,chembl;clinicaltrialsgov;openfda;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,1.0,80.58,7290,1325,0.2,0.1,0.4,0.2,0.15,0.2225,0,"The model's answer has significant deficiencies despite actually finding relevant results in its tool calls. Critical failure: tool call #8 retrieved NCT07600788 (the exact hepatic impairment PK study mentioned in the gold standard) and tool calls #5/#7/#9/#14 retrieved PMID 42176239 (AHB-137 phase 1a/1b study), yet the model incorrectly stated 'no results were found.' Coverage is low (0.2) because the model missed general hepatic impairment PK principles, the specific trial reference, and relev"
PMID:37088174,Medical AI & Informatics,Clinical AI Integration,4.33,hard,8,biomcp;pubmed,biomcp;pubmed,1.0,75.94,2073,2087,0.65,0.6,0.4,0.7,0.6,0.5775,0,"The model covers many obstacle categories aligned with the gold answer (interpretability, bias, regulatory, legal liability, clinical integration) but misses the cardiology-specific context entirely—no mention of ECG analysis, echocardiographic AI, arrhythmia detection, or cardiology-specific evidence. The evidence landscape (limited RCTs, retrospective vs. prospective validation) is also absent. Citations are real and relevant (Obermeyer 2019, Rudin 2019, Zech 2018) but drawn from general knowl"
2106.15820v1,Medical AI & Informatics,AI Model Robustness and Security,3.0,medium,14,pubmed,pubmed,1.0,79.6,6421,2388,0.75,0.3,0.45,0.85,0.7,0.5925,0,"The model provides strong conceptual coverage of why aggregate metrics fail at feature-level diagnosis and what alternatives exist, but misses some gold-standard nuances: the unresolved question of decomposing aggregate metrics without attribution, the questionable faithfulness of post-hoc explanations on adversarial examples, lack of standardized validation protocols, and poorly defined ground-truth for feature-level vulnerability. Evidence quality is low—the model made 14 PubMed queries but mo"
PMID:38345751,Neuroscience & Psychiatry,"Neurorehabilitation, cognitive recovery, brain stimulation",4.0,hard,21,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,215.58,8139,4968,0.75,0.55,0.4,0.7,0.75,0.615,1,"Coverage is good (0.75): the model addressed rTMS and tDCS parameters across cognitive domains, stroke types, and target regions, matching major gold-standard themes. However, it missed key elements: dual-hemisphere rTMS for ADLs, iTBS parameters, and the specific network meta-analysis (PMID 38345751). Evidence quality is moderate (0.55): the model cited studies by author/year/journal but provided no PMIDs, acknowledged citation imprecision, and failed to incorporate PMIDs from tool results. The"
PMID:32330676,Surgical Sciences,Pediatric Neurosurgery,4.0,hard,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,120.11,3780,3005,0.7,0.5,0.45,0.65,0.65,0.5825,0,"The model covers the four main temporizing measures and acknowledges the absence of level-one evidence, but misses key elements from the gold standard: the ELVIS trial/neuroendoscopic lavage (a significant omission), the EINSTEIN trial, and the 10-year DRIFT follow-up. Evidence quality is hampered by inaccuracies (e.g., mischaracterizing DRIFT results—the gold standard notes it reduced death/severe disability, while the model claims no significant cognitive difference) and lack of PMIDs. Tool us"
PMID:29678496,Infectious Disease & Immunology,Vaccinology,4.67,hard,14,pubmed,opentargets;pubmed;uniprot,0.333,130.39,7465,2987,0.78,0.55,0.6,0.72,0.72,0.671,1,"The model provided a well-structured and largely comprehensive answer covering most key aspects from the gold standard, including correlates of protection, antibody waning, mucosal immunity, T-cell responses, and systems immunology gaps. However, it missed several specific and important details: the HN and F glycoprotein targets (with HN as primary neutralizing target), memory B cell persistence and cross-reactivity limitations, Tfh cells and germinal center reactions, long-lived plasma cell com"
PMID:32182637,Clinical Medicine,"Ophthalmology, anterior segment disease",2.67,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,130.69,3847,2207,0.7,0.4,0.35,0.55,0.7,0.53,0,"The model covers most topics (mechanism, symptoms, TBUT, limitations, safety) but critically misses the Cochrane systematic review (PMID 32182637) and its key conclusion that IPL efficacy remains uncertain. Instead, the model states 'Yes — the bulk of clinical evidence supports' IPL, which is more definitive than the gold answer's emphasis on uncertainty. Evidence quality is low: no PMIDs provided for any citation, key Cochrane review omitted, and tool results with actual PMIDs (42050421, 419975"
