task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
PMID:30340949,Cardiovascular Medicine,,2.0,easy,0,,,,17.57,102,2785,0.65,0.15,0.0,0.55,0.55,0.3575,0,"The model provided thoughtful and well-structured redesign strategies covering key workflow elements (patient preparation, safety checks, sedation management, cognitive load, assessment rubrics), addressing the core question reasonably well. However, it made NO tool calls despite the question requiring evidence-based analysis, resulting in a zero for tool usage. Without tool use, citations are vague and unverifiable (e.g., 'ASE Guidelines' without PMID, generic references to 'Studies on NOTSS'),"
PMID:27493633,Cardiovascular Medicine,Cardiology / Sudden Cardiac Death Prevention,4.33,hard,9,pubmed,clinicaltrialsgov;pubmed,0.5,86.44,11953,4893,0.0,0.0,0.0,0.0,0.0,0.0,0,Parse error. Raw: 
PMID:29938746,Neuroscience & Psychiatry,Psychiatric nosology & epistemology,4.33,hard,4,pubmed,pubmed,1.0,36.98,6622,3820,0.55,0.5,0.45,0.6,0.5,0.515,0,"The model identifies the core nomothetic-idiographic tension and covers some reconciliation strategies (RDoC, phenomenology, case formulation), but misses several key frameworks from the gold standard: network theory (Borsboom), N=1 methods/EMA, narrative medicine, precision psychiatry, and computational approaches (ML, digital phenotyping). Critically, the model fails to note that RDoC remains fundamentally nomothetic despite being dimensional—a key nuance. Evidence citations are present but mi"
PMID:29385732,Rare & Orphan Diseases,Mitochondrial diseases and diagnostic biomarkers,4.0,hard,10,pubmed,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,0.2,67.8,72724,1422,0.0,0.0,0.15,0.0,0.0,0.0375,0,"The model produced an entirely empty answer despite making 10 PubMed tool calls. Coverage, evidence quality, reasoning quality, and completeness all score 0.0 because no answer was generated. Tool usage scores 0.15 only because the model attempted searches, but the queries were poorly targeted (too broad, missing key terms like FGF21/GDF15), most results were irrelevant (Parkinson's, depression, glioblastoma), the model didn't use clinicaltrialsgov as recommended, and critically, the model faile"
PMID:37321111,Clinical Medicine,Ophthalmology,3.67,hard,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,75.62,24149,4147,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.62,
        ""evidence_quality"": 0.55,
        ""tool_usage"": 0.58,
        ""reasoning_quality"":"
PMID:37285423,Other,Prebiotic Chemistry & Origin of Life,3.67,hard,3,pubmed,pubmed,1.0,47.66,4336,5122,0.65,0.65,0.55,0.7,0.6,0.625,1,"The model covers several key mechanisms (CPL, parity violation, autocatalysis, Viedma ripening, template-directed replication) but critically omits the chiral-induced spin selectivity (CISS) effect and magnetic surface crystallization, which is a central focus of the gold answer with two dedicated citations (PMIDs 37285423, 22661780). It also misses chiral mineral surfaces (quartz, calcite) and the specific point that a single enantiomeric impurity terminates RNA strand elongation. Tool queries "
NCT00535353,Oncology,Cancer Drug Development,2.67,medium,0,,clinicaltrialsgov;pubmed,0.0,8.21,485,644,0.0,0.0,0.0,0.0,0.0,0.0,0,"The model completely failed to answer the question. Instead of using available tools to search for the trial (as outlined in the gold standard's mcp_tool_plan) or providing any substantive information about efficacy, safety, or dosing, it merely asked for clarification about the trial identifier. The gold standard demonstrates that the question could have been addressed by searching clinicaltrialsgov and PubMed with queries like 'AZD2281 olaparib irinotecan colorectal cancer phase 1'. The model "
NCT07600788,Pharmacology & Drug Discovery,"Pharmacokinetics, Drug Safety in Special Populations",2.67,medium,3,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,0.75,35.25,11594,3546,0.7,0.75,0.7,0.85,0.7,0.7325,1,"The model correctly identified that no specific PK data exists for AHB-137 in hepatic impairment and found the relevant trial (NCT07600788). It went beyond the gold answer by identifying AHB-137 as an antisense oligonucleotide and finding a Phase 1a/1b study (PMID 42176239), using this to reason that hepatic impairment may have minimal impact due to renal clearance pathways. However, it missed several elements from the gold answer: general principles of hepatic impairment PK (5 mechanisms), Chil"
PMID:37088174,Medical AI & Informatics,Clinical AI Integration,4.33,hard,0,,biomcp;pubmed,0.0,14.66,446,2760,0.65,0.55,0.0,0.65,0.55,0.4525,0,"The model provided a reasonably structured answer covering key obstacles (interpretability, bias, regulation, generalizability) but missed the cardiology-specific focus central to the gold standard. No tool calls were made despite the question requiring current evidence retrieval—this is a critical failure for tool_usage. Citations are real and relevant (Obermeyer, Topol, FDA action plan) but lack PMID specificity and recency that tool-based searches would provide. Reasoning is coherent with pra"
2106.15820v1,Medical AI & Informatics,AI Model Robustness and Security,3.0,medium,4,pubmed,pubmed,1.0,40.24,9120,3213,0.7,0.45,0.55,0.7,0.6,0.5975,0,"The model correctly identifies that aggregate metrics are insufficient for feature-level diagnosis and discusses attribution methods (SHAP, LIME) as alternatives, matching the gold answer's core argument. However, it misses several key aspects: certified defense methods and their limitations, the unresolved question of whether aggregate metrics can be decomposed into feature-level signals, the faithfulness problem of post-hoc explanations on adversarial examples, lack of standardized validation "
PMID:38345751,Neuroscience & Psychiatry,"Neurorehabilitation, cognitive recovery, brain stimulation",4.0,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,32.73,3840,4367,0.65,0.55,0.6,0.55,0.6,0.595,0,"The model covers the main NIBS parameters (frequency, intensity, duration, sessions) and target regions (primarily L-DLPFC) for rTMS and tDCS, and addresses cognitive domains and stroke types. However, it significantly overstates the certainty of 'optimal' parameters—presenting them as established consensus when the gold answer emphasizes they remain 'systematically undefined.' Critical gaps include: inadequate discussion of unknowns (dose-response, long-term durability, patient-specific predict"
PMID:32330676,Surgical Sciences,Pediatric Neurosurgery,4.0,hard,28,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,147.52,108934,7013,0.65,0.55,0.5,0.65,0.6,0.585,0,"The model covers the main temporizing measures (VR, VSGS, EVD, serial LPs) with reasonable pros/cons and discusses emerging approaches like NEL and ETV/CPC. However, it misses critical gold-standard content: the DRIFT trial (drainage, irrigation, fibrinolytic therapy) and its long-term follow-up data, specific ELVIS trial results, the EINSTEIN trial, VP shunt weight thresholds (1.5-2.0 kg), CSF protein considerations, PHH incidence statistics (25-50%), and explicit evidence quality assessment (G"
PMID:29678496,Infectious Disease & Immunology,Vaccinology,4.67,hard,10,pubmed,opentargets;pubmed;uniprot,0.333,58.35,55781,1093,0.0,0.0,0.15,0.0,0.0,0.0375,0,"The model produced an entirely empty answer despite making 10 PubMed tool calls. The queries were broadly relevant (e.g., 'mumps vaccine immune response humoral cellular waning immunity', 'mumps vaccine correlates of protection immunity') but returned largely irrelevant results (rubella studies, influenza, hepatocellular carcinoma, biliary atresia). The model failed to refine queries or use more specific terms from the gold standard's tool plan (e.g., mucosal immunity, systems immunology, germin"
